backend,memory_mib,mode,trial,pause_ms,diff_ms,diff_physical_bytes
ssd,256,full,1,1770,,
ssd,256,full,2,1884,,
ssd,256,full,3,1768,,
ssd,256,diff,1,216,214,905216
ssd,256,diff,2,252,251,905216
ssd,256,diff,3,255,254,905216
ssd,512,full,1,3472,,
ssd,512,full,2,3395,,
ssd,512,full,3,3374,,
ssd,512,diff,1,233,232,897024
ssd,512,diff,2,218,216,909312
ssd,512,diff,3,227,225,909312
ssd,1024,full,1,6940,,
ssd,1024,full,2,6735,,
ssd,1024,full,3,7030,,
ssd,1024,diff,1,233,233,905216
ssd,1024,diff,2,234,232,905216
ssd,1024,diff,3,219,218,905216
ssd,2048,full,1,13991,,
ssd,2048,full,2,15639,,
ssd,2048,full,3,13894,,
ssd,2048,diff,1,250,249,933888
ssd,2048,diff,2,237,236,921600
ssd,2048,diff,3,180,179,921600
ssd,4096,full,1,29417,,
ssd,4096,full,2,28451,,
ssd,4096,full,3,30097,,
ssd,4096,diff,1,224,223,962560
ssd,4096,diff,2,188,187,962560
ssd,4096,diff,3,204,203,962560
