backend,memory_mib,trial,full_pause_ms,diff_ms,diff_physical_bytes,diff_logical_bytes,diff_ratio_pct
ssd,256,1,2030,251,905216,268435456,0.34
ssd,256,2,2120,259,897024,268435456,0.33
ssd,256,3,2445,291,905216,268435456,0.34
ssd,512,1,4504,291,897024,536870912,0.17
ssd,512,2,3930,193,897024,536870912,0.17
ssd,512,3,3725,214,897024,536870912,0.17
ssd,1024,1,8015,210,905216,1073741824,0.08
ssd,1024,2,7826,354,905216,1073741824,0.08
ssd,1024,3,7122,236,905216,1073741824,0.08
ssd,2048,1,14748,245,933888,2147483648,0.04
ssd,2048,2,14161,238,921600,2147483648,0.04
ssd,2048,3,16070,244,933888,2147483648,0.04
ssd,4096,1,31054,225,966656,4294967296,0.02
ssd,4096,2,30180,274,962560,4294967296,0.02
ssd,4096,3,30009,217,962560,4294967296,0.02
