backend,memory_mib,prewarm,trial,pause_ms,prewarm_ms
ssd,256,true,1,1873,
ssd,256,true,2,1707,
ssd,256,true,3,1740,
ssd,256,false,1,1758,
ssd,256,false,2,1855,
ssd,256,false,3,1850,
ssd,512,true,1,3833,
ssd,512,true,2,3704,
ssd,512,true,3,3310,
ssd,512,false,1,3581,
ssd,512,false,2,4187,
ssd,512,false,3,3384,
ssd,1024,true,1,7100,
ssd,1024,true,2,6851,
ssd,1024,true,3,6824,
ssd,1024,false,1,8133,
ssd,1024,false,2,16021,
ssd,1024,false,3,9660,
ssd,2048,true,1,15391,
ssd,2048,true,2,14230,
ssd,2048,true,3,15274,
ssd,2048,false,1,20197,
ssd,2048,false,2,15395,
ssd,2048,false,3,14875,
ssd,4096,true,1,30027,
ssd,4096,true,2,28806,
ssd,4096,true,3,29444,
ssd,4096,false,1,31329,
ssd,4096,false,2,38087,
ssd,4096,false,3,33005,
