backend,memory_mib,prewarm,trial,pause_ms,prewarm_ms
tmpfs,256,true,1,141,
tmpfs,256,true,2,70,
tmpfs,256,true,3,187,
tmpfs,256,false,1,81,
tmpfs,256,false,2,85,
tmpfs,256,false,3,76,
tmpfs,512,true,1,146,
tmpfs,512,true,2,126,
tmpfs,512,true,3,166,
tmpfs,512,false,1,155,
tmpfs,512,false,2,157,
tmpfs,512,false,3,150,
tmpfs,1024,true,1,250,
tmpfs,1024,true,2,252,
tmpfs,1024,true,3,258,
tmpfs,1024,false,1,304,
tmpfs,1024,false,2,313,
tmpfs,1024,false,3,304,
tmpfs,2048,true,1,553,
tmpfs,2048,true,2,498,
tmpfs,2048,true,3,494,
tmpfs,2048,false,1,639,
tmpfs,2048,false,2,591,
tmpfs,2048,false,3,584,
tmpfs,4096,true,1,1051,
tmpfs,4096,true,2,1027,
tmpfs,4096,true,3,1056,
tmpfs,4096,false,1,1214,
tmpfs,4096,false,2,1227,
tmpfs,4096,false,3,1236,
